ServingCell_RSRP,ServingCell_RSRQ,ServingCell_PCI,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor1_PCI,Neighbor1_IS_MOD3,SINR
-85,-6,167,-101,-20,132,0,19.2
-85,-6,167,-100,-23,132,0,19.1
-85,-6,167,-113,-20,23,0,20.5
-90,-8,7,-98,-21,6,0,11.6
-82,-6,7,-97,-20,69,0,18
-80,-6,7,-100,-14,69,0,22.7
-91,-9,5,-91,-14,7,0,9.5
-86,-13,5,-81,-8,7,0,6.4
-71,-6,5,-80,-22,7,0,26.4
-71,-6,5,-98,-30,7,0,23.1
-90,-11,3,-83,-11,4,0,9.3
-75,-6,4,-86,-18,3,0,21.3
-79,-6,4,-84,-22,3,0,17
-79,-7,4,-87,-18,3,0,15.8
-76,-7,4,-80,-19,3,0,17.8
-73,-6,4,-83,-21,3,0,20.9
-77,-6,4,-86,-22,3,0,21.1
-75,-6,4,-83,-23,58,0,21.7
-67,-5,4,-77,-24,58,0,26.8
-65,-5,4,-76,-24,58,0,28.9
-89,-12,126,-98,-22,70,0,13.5
-68,-6,126,-87,-24,58,0,22.8
-70,-6,126,-84,-14,58,0,23.1
-74,-6,41,-91,-22,58,0,21.3
-81,-12,22,-79,-8,23,0,5.9
-87,-7,23,-89,-8,69,0,9.1
-87,-6,70,-102,-8,21,0,17.7
-85,-6,70,-103,-23,69,0,18.4
-83,-6,70,-95,-8,41,0,22.1
-89,-6,70,-102,-14,41,0,16.3
-86,-6,70,-104,-11,41,0,18.1
-88,-6,70,-104,-11,41,0,17.7
-86,-6,70,-100,-9,41,0,22.6
-89,-7,70,-107,-11,41,0,17.7
-89,-6,70,-100,-10,41,0,18.7
-81,-6,70,-98,-24,132,0,22.2
-81,-6,70,-100,-23,132,0,22.3
-70,-6,4,-87,-20,58,0,25
-68,-5,4,-84,-21,58,0,26.6
-72,-5,4,-86,-16,3,0,24.2
-72,-5,4,-79,-10,3,0,22.6
-82,-9,4,-82,-10,3,0,13.3
-78,-6,5,-101,-24,7,0,17.9
-77,-6,5,-93,-23,220,0,19.2
-75,-6,5,-99,-30,7,0,20.6
-73,-6,5,-82,-19,220,0,21.1
-73,-6,5,-97,-27,7,0,22.2
-74,-6,5,-84,-22,7,0,24.8
-78,-6,5,-86,-22,7,0,21.3
-82,-6,5,-95,-20,7,0,21.3
-81,-5,70,-93,-19,56,0,22.4
-85,-6,70,-93,-9,41,0,17
-81,-6,70,-93,-9,41,0,20.9
-83,-6,70,-92,-9,41,0,18.5
-79,-6,70,-92,-9,41,0,22.4
-80,-6,70,-95,-10,41,0,21.6
-83,-6,70,-88,-9,41,0,19.7
-91,-6,70,-95,-9,41,0,14.1
-87,-7,41,-94,-14,56,0,13.1
-83,-10,58,-93,-19,111,0,5.9
-83,-10,58,-90,-16,111,0,7.5
-72,-8,58,-81,-15,126,0,11.1
-76,-12,36,-87,-23,1,0,17.2
-76,-11,36,-90,-17,1,0,18.9
-75,-7,36,-79,-10,1,0,16.7
-76,-7,36,-73,-8,1,0,15.4
-78,-6,36,-87,-9,1,0,14
-79,-7,36,-76,-8,1,0,12.1
-81,-7,36,-85,-19,1,0,9.3
-84,-9,1,-86,-14,36,0,5
-77,-7,1,-87,-15,36,0,21.8
-79,-7,1,-89,-13,36,0,19.4
-76,-6,1,-86,-14,36,0,22
-74,-6,1,-85,-15,36,0,22.8
-79,-6,1,-89,-17,36,0,19.6
-85,-6,1,-89,-10,36,0,15.6
-81,-7,94,-98,-16,133,0,18.8
-81,-7,94,-98,-15,95,0,18.6
-80,-7,94,-96,-14,132,0,18.8
-84,-10,94,-95,-21,132,0,7.3
-68,-13,74,-71,-21,73,0,12.4
-65,-12,74,-74,-20,73,0,15.2
-65,-12,74,-72,-19,73,0,13.8
-66,-13,74,-74,-20,73,0,4.6
-65,-13,74,-72,-21,73,0,4.4
-65,-13,74,-70,-19,73,0,3.6
-63,-13,74,-70,-20,73,0,4.2
-64,-13,74,-71,-22,73,0,3.5
-65,-13,74,-73,-20,73,0,4.7
-66,-13,74,-73,-17,73,0,4.3
-68,-14,74,-72,-18,73,0,2.9
-90,-7,14,-92,-10,31,0,8.6
-90,-9,14,-98,-22,31,0,5.9
-90,-7,14,-95,-13,31,0,9.1
-90,-7,14,-96,-14,31,0,8.7
-71,-7,14,-75,-14,12,0,19.9
-82,-7,13,-89,-15,52,0,11.3
-70,-6,28,-84,-20,52,0,18.9
-69,-6,28,-87,-25,29,0,20.4
-68,-6,28,-91,-24,216,0,21.2
-67,-6,28,-82,-21,29,0,23.8
-65,-6,28,-87,-23,29,0,22.8
-72,-7,27,-75,-9,29,0,19
-74,-8,27,-75,-8,29,0,15.7
-78,-10,27,-77,-10,29,0,12.2
-89,-8,199,-97,-17,35,0,10.4
-90,-9,199,-95,-15,44,0,6.7
-87,-8,199,-94,-14,44,0,7.2
-87,-7,199,-94,-16,44,0,9.2
-87,-8,199,-94,-16,44,0,7.7
-87,-7,199,-94,-16,44,0,9.8
-78,-11,35,-80,-14,34,0,14.1
-77,-12,35,-82,-13,34,0,15.9
-78,-13,35,-83,-15,34,0,15.7
-82,-9,35,-82,-11,34,0,10.2
-84,-8,34,-89,-10,35,0,13.6
-84,-7,34,-89,-12,35,0,14.4
-76,-8,34,-76,-10,35,0,16.3
-75,-8,34,-78,-18,35,0,16.1
-68,-6,34,-74,-14,35,0,20.6
-71,-7,34,-77,-15,35,0,18.9
-68,-6,34,-73,-16,33,0,20.9
-77,-8,21,-87,-16,33,0,16.7
-77,-7,64,-88,-11,33,0,14.3
-74,-6,64,-90,-13,33,0,18.2
-74,-6,64,-93,-16,33,0,18.1
-63,-6,63,-90,-13,33,0,25.6
-65,-6,63,-87,-16,33,0,26
-67,-6,63,-86,-18,33,0,22.5
-70,-10,63,-75,-18,64,0,20.2
-80,-10,64,-84,-13,33,0,2
-87,-8,21,-95,-24,112,0,7.6
-78,-8,33,-79,-12,34,0,11.6
-76,-8,33,-78,-10,34,0,12.8
-72,-7,34,-81,-21,23,0,18.9
-72,-7,34,-83,-24,23,0,19.1
-72,-7,34,-82,-23,23,0,16.2
-72,-7,34,-84,-20,23,0,13.8
-72,-8,34,-89,-19,23,0,13.5
-69,-7,34,-82,-23,23,0,16.2
-70,-7,34,-81,-22,23,0,18.5
-70,-7,34,-80,-21,23,0,16
-70,-7,34,-82,-17,35,0,15.1
-72,-7,34,-81,-16,35,0,17.7
-72,-6,34,-90,-18,23,0,15.8
-72,-7,34,-80,-23,23,0,14.4
-69,-6,34,-87,-22,23,0,19.3
-74,-6,34,-81,-14,35,0,18.4
-86,-11,92,-94,-17,178,0,14.7
-79,-10,80,-85,-24,8,0,19.8
-106,-13,251,-73,-15,249,0,0.6
-64,-9,249,-63,-17,251,0,10.5
-60,-7,249,-78,-22,251,0,18.1
-64,-7,249,-74,-22,251,0,18.9
-57,-7,249,-75,-25,251,0,20.3
-58,-7,249,-76,-26,251,0,22.2
-54,-7,249,-69,-23,251,0,24.9
-56,-6,249,-72,-25,251,0,25.3
-67,-6,241,-79,-23,35,0,26
-69,-5,241,-89,-29,15,0,24.5
-60,-6,286,-78,-24,285,0,27.2
-58,-6,286,-73,-23,285,0,26.9
-53,-5,286,-74,-25,285,0,28.7
-56,-5,286,-73,-24,285,0,25.8
-57,-6,286,-71,-23,285,0,27.5
-61,-6,286,-76,-20,285,0,24.1
-87,-9,170,-82,-7,78,0,9.1
-87,-9,170,-83,-7,78,0,8.9
-86,-8,170,-83,-7,78,0,9.6
-85,-8,170,-82,-7,78,0,8.4
-83,-7,170,-81,-7,78,0,11.3
-75,-6,47,-93,-21,22,0,19.2
-69,-6,47,-87,-22,22,0,23.3
-69,-6,47,-80,-26,44,0,19.9
-67,-6,47,-77,-20,46,0,23.1
-62,-6,47,-81,-20,46,0,22.7
-62,-6,47,-82,-16,46,0,19.7
-61,-6,47,-76,-21,46,0,25
-80,-7,106,-82,-10,107,0,13.1
-64,-6,107,-81,-19,106,0,25.7
-66,-6,107,-80,-23,106,0,25.5
-60,-6,107,-84,-8,133,0,23.2
-58,-6,107,-88,-9,133,0,28.8
-62,-6,107,-82,-13,133,0,28.3
-63,-6,107,-80,-12,133,0,28
-62,-5,107,-82,-24,106,0,30
-64,-6,107,-74,-23,133,0,27.6
-65,-5,107,-73,-21,133,0,27
-67,-6,107,-72,-21,133,0,26.3
-66,-6,107,-76,-19,133,0,26.5
-69,-6,107,-78,-21,133,0,24.9
-70,-6,107,-86,-19,133,0,24.3
-72,-12,107,-81,-22,133,0,20.9
-72,-13,107,-80,-22,133,0,19.2
-78,-12,107,-84,-20,133,0,9.9
-79,-6,107,-89,-21,133,0,18.1
-77,-9,107,-86,-7,133,0,6
-85,-15,11,-90,-20,9,0,-0.4
-95,-13,11,-95,-9,10,0,7.3
-83,-6,177,-94,-23,145,0,21
-75,-6,177,-88,-23,178,0,26.2
-78,-6,177,-94,-24,146,0,23.3
-80,-6,177,-91,-21,178,0,22.1
-80,-6,177,-93,-21,145,0,22.3
-78,-6,177,-94,-23,178,0,21.5
-73,-6,177,-88,-25,178,0,25.4
-78,-6,177,-97,-22,178,0,21.1
-77,-6,177,-92,-24,178,0,23.9
-84,-10,149,-88,-22,51,0,22.7
-82,-11,149,-92,-23,225,0,22
-82,-10,149,-94,-21,225,0,18.3
-82,-12,149,-93,-24,225,0,20
-76,-12,149,-87,-22,225,0,22.5
-74,-6,149,-86,-23,225,0,24.3
-74,-12,149,-81,-18,225,0,23.7
-74,-12,149,-82,-21,225,0,21.8
-73,-12,149,-85,-26,140,0,21.9
-71,-11,149,-80,-21,225,0,24.7
-70,-12,149,-80,-22,178,0,25.5
-69,-11,149,-78,-22,225,0,25.9
-70,-8,149,-80,-21,225,0,26.1
-68,-10,149,-76,-20,225,0,26.7
-67,-9,149,-77,-22,225,0,26.2
-67,-10,149,-77,-18,225,0,25.9
-71,-8,149,-83,-18,225,0,21.6
-76,-11,149,-87,-17,225,0,20.4
-67,-10,149,-74,-18,225,0,24.8
-66,-11,149,-76,-24,225,0,25.8
-66,-8,149,-81,-18,225,0,25.8
-67,-10,149,-78,-23,51,0,24.3
-71,-9,149,-81,-20,225,0,23.4
-73,-11,149,-80,-19,225,0,21.4
-69,-11,149,-77,-23,51,0,23.9
-65,-11,149,-81,-25,51,0,25.8
-64,-11,149,-73,-23,51,0,27.1
-64,-11,149,-73,-20,51,0,26.8
-66,-11,149,-77,-24,225,0,26.8
-67,-11,149,-76,-22,51,0,25.7
-71,-11,149,-80,-22,51,0,22.7
-70,-11,149,-81,-20,51,0,23.8
-70,-11,149,-81,-22,51,0,23.6
-70,-10,149,-80,-22,225,0,23.6
-69,-10,149,-81,-21,225,0,23.2
-70,-9,149,-79,-22,85,0,22.9
-70,-10,149,-80,-21,225,0,23.1
-70,-10,149,-81,-23,225,0,22.9
-70,-10,149,-80,-20,225,0,23.2
-70,-10,149,-81,-23,0,0,23.9
-70,-10,149,-83,-24,225,0,23.8
-70,-10,149,-77,-21,51,0,19.7
-70,-9,149,-81,-22,226,0,23
-74,-11,149,-81,-23,225,0,19.3
-73,-13,149,-84,-22,225,0,15.6
-76,-11,149,-83,-19,225,0,19.1
-76,-11,149,-87,-14,225,0,22.7
-80,-11,149,-87,-20,225,0,22.6
-81,-8,184,-86,-15,149,0,7.4
-83,-8,273,-84,-9,274,0,12.5
-84,-8,273,-85,-11,274,0,10.6
-86,-9,95,-89,-17,274,0,10.5
-78,-11,95,-83,-23,273,0,21.7
-75,-11,95,-87,-19,273,0,24
-72,-11,95,-85,-24,273,0,24.9
-68,-6,95,-84,-20,274,0,26.6
-77,-7,94,-81,-21,199,0,17.7
-70,-7,94,-88,-17,199,0,25.5
-68,-7,94,-84,-21,199,0,27.7
-67,-7,94,-85,-19,199,0,28.9
-79,-7,94,-91,-19,288,0,21.7
-77,-7,94,-83,-16,288,0,19.8
-76,-7,94,-90,-23,288,0,21.2
-86,-10,94,-77,-9,288,0,7
-87,-8,94,-101,-14,288,0,18
-91,-9,94,-109,-20,288,0,14
-95,-7,94,-110,-21,269,0,12.5
-80,-6,123,-92,-20,276,0,19.9
-78,-6,123,-98,-23,278,0,23
-80,-5,123,-86,-23,276,0,21.5
-79,-5,123,-94,-24,278,0,22.8
-79,-5,123,-94,-22,237,0,23.6
-82,-6,123,-96,-23,276,0,21.7
-80,-6,123,-84,-22,237,0,24.8
-83,-11,123,-96,-22,278,0,19.1
-82,-6,123,-103,-23,149,0,17.6
-79,-6,123,-93,-24,149,0,15.7
-80,-6,123,-89,-23,278,0,19.1
-78,-6,123,-103,-19,327,0,21.8
-82,-6,123,-92,-22,149,0,22.5
-77,-6,123,-98,-23,149,0,23.5
-78,-6,123,-97,-21,149,0,21.5
-79,-6,123,-98,-24,149,0,17.8
-80,-6,123,-99,-19,149,0,14.6
-78,-6,123,-86,-20,149,0,18
-77,-11,123,-84,-22,149,0,20.3
-77,-7,123,-95,-23,149,0,19.9
-78,-6,123,-94,-18,149,0,19.2
-75,-6,123,-96,-22,149,0,22
-73,-5,123,-92,-22,149,0,23.2
-76,-6,123,-93,-17,149,0,15.3
-83,-11,123,-85,-9,149,0,3.7
-76,-13,149,-81,-16,140,0,11.2
-76,-12,149,-80,-19,140,0,18.4
-75,-11,149,-85,-21,140,0,19.7
-75,-11,149,-88,-15,140,0,20.6
-75,-12,149,-81,-10,140,0,17.4
-76,-12,149,-90,-19,140,0,16.6
-76,-11,149,-87,-21,140,0,20
-75,-11,149,-86,-20,140,0,19.9
-75,-10,149,-83,-17,140,0,19.4
-73,-12,149,-84,-18,140,0,20.8
-71,-10,149,-80,-19,140,0,21.8
-69,-11,149,-78,-21,140,0,21.8
-69,-10,149,-80,-20,140,0,21.4
-69,-11,149,-79,-22,140,0,23.8
-65,-11,149,-77,-26,140,0,25.9
-62,-10,149,-71,-24,317,0,26.6
-62,-9,149,-73,-23,140,0,27.8
-62,-11,149,-74,-24,140,0,27.7
